#,Song Title,Artist,Vibe/Mood,Genre,Best For
1,Feather,Nujabes,Soulful / Uplifting,Jazz Lofi,Morning vibes
2,Aruarian Dance,Nujabes,Dreamy / Peaceful,Jazz Lofi,Deep focus
3,Luv(sic) Part 1,Nujabes,Emotional / Warm,Jazz Hip Hop,Study
4,Luv(sic) Part 2,Nujabes,Melancholic / Rich,Jazz Hip Hop,Evening chill
5,Luv(sic) Part 3,Nujabes,Nostalgic / Bittersweet,Jazz Hip Hop,Late night
6,Reflection Eternal,Nujabes,Atmospheric / Calm,Lofi Hip Hop,Meditation
7,Kumomi,Nujabes,Soft / Floating,Jazz Lofi,Background music
8,Shiki No Uta,Nujabes,Seasonal / Emotional,Jazz Lofi,Relaxing
9,latitude,Nujabes,Smooth / Jazzy,Jazz Lofi,Work focus
10,Horn in the Middle,Nujabes,Upbeat / Jazzy,Jazz Hip Hop,Creative sessions
11,Donuts,J Dilla,Classic / Raw,Lo-fi Hip Hop,Old school vibes
12,So Far to Go,J Dilla,Soulful / Smooth,Neo Soul Lofi,Late night
13,Time: The Donut of the Heart,J Dilla,Nostalgic / Warm,Lofi Hip Hop,Chill sessions
14,Workinonit,J Dilla,Dreamy / Slow,Lofi Beats,Background music
15,Last Donut of the Night,J Dilla,Atmospheric / Calm,Lofi Hip Hop,Bedtime
16,Mirth,Philanthrope,Bittersweet / Peaceful,Lofi Hip Hop,Relaxing
17,Together,Philanthrope,Warm / Cozy,Chillhop,Study sessions
18,Sunrise,Philanthrope,Uplifting / Fresh,Chillhop,Morning vibes
19,Solitude,Philanthrope,Introspective / Calm,Lofi Hip Hop,Deep work
20,Daydream,Philanthrope,Dreamy / Soft,Lofi Beats,Creative sessions
21,Lemonade,Kupla,Upbeat / Jazzy,Chillhop,Morning study
22,Night Ride,Kupla,Smooth / Electric Piano,Chillhop,Night drive
23,Rituals,Kupla,Exotic / Unique,Chillhop,Focus sessions
24,Seven Seas,Kupla,Smoky / Jazz,Jazz Lofi,Evening chill
25,Unity,Kupla,Serene / Calm,Chillhop,Meditation
26,Dimensions,Kupla,Multi-layered / Rich,Chillhop,Deep focus
27,Wanderlust,Kupla,Free / Airy,Chillhop,Background music
28,Velvet,Blue Wednesday,Funky / Groovy,Chillhop,Creative work
29,New Shoes,Blue Wednesday,Upbeat / Happy,Chillhop,Morning vibes
30,Lazy Days,Blue Wednesday,Relaxed / Breezy,Chillhop,Weekend chill
31,Apricot,Blue Wednesday,Sweet / Warm,Chillhop,Study sessions
32,Nomad,Blue Wednesday,Adventurous / Free,Chillhop,Work focus
33,indigo,mell-ø,Nocturnal / Late Night,Jazz Lofi,Late night study
34,dusk,mell-ø,Twilight / Calm,Jazz Lofi,Evening wind down
35,amber,mell-ø,Warm / Glowing,Jazz Lofi,Afternoon chill
36,cerulean,mell-ø,Cool / Smooth,Jazz Lofi,Deep focus
